longueur_onde,flux
5837.2109,4147.1147
5837.2261,4078.4766
5837.2407,4063.0171
5837.2559,4080.7991
5837.2710,4140.6079
5837.2861,4140.6079
5837.3008,4163.6675
5837.3159,4176.4902
5837.3311,4167.2373
5837.3457,4012.5222
5837.3608,4012.5222
5837.3760,4070.6206
5837.3911,4135.9966
5837.4058,4135.9966
5837.4209,4196.2534
5837.4360,4204.0879
5837.4512,4183.0693
5837.4658,4133.9468
5837.4810,4133.9468
5837.4961,4231.4692
5837.5107,4270.3989
5837.5259,4305.9512
5837.5410,4543.7715
5837.5562,4543.7715
5837.5708,4427.9312
5837.5859,4331.4976
5837.6011,4331.4976
5837.6157,4285.3481
5837.6309,4283.5093
5837.6460,4202.9570
5837.6611,4070.3943
5837.6758,4070.3943
5837.6909,4160.3027
5837.7061,4183.5469
5837.7207,4176.5859
5837.7358,4150.6338
5837.7510,4150.6338
5837.7661,4164.6924
5837.7808,4172.9941
5837.7959,4177.7573
5837.8110,4275.9497
5837.8262,4275.9497
5837.8408,4292.5674
5837.8560,4311.7549
5837.8711,4311.7549
5837.8857,4208.6440
5837.9009,4194.8872
5837.9160,4156.6006
5837.9312,4067.5938
5837.9458,4067.5938
5837.9609,4061.1882
5837.9761,4058.6919
5837.9907,4061.5906
5838.0059,4079.5942
5838.0210,4079.5942
5838.0361,4039.6877
5838.0508,4008.0908
5838.0659,4008.0908
5838.0811,3756.4041
5838.0957,3750.7009
5838.1108,3835.3296
5838.1260,3963.3921
5838.1411,3963.3921
5838.1558,4214.7539
5838.1709,4270.5825
5838.1860,4282.8291
5838.2012,4321.8369
5838.2158,4321.8369
5838.2310,4284.1089
5838.2461,4264.6675
5838.2607,4267.7080
5838.2759,4302.0864
5838.2910,4302.0864
5838.3062,4315.7358
5838.3208,4329.2300
5838.3359,4329.2300
5838.3511,4271.0605
5838.3657,4266.3311
5838.3809,4296.9346
5838.3960,4354.5112
5838.4111,4354.5112
5838.4258,4276.1934
5838.4409,4252.7500
5838.4561,4270.4312
5838.4707,4344.5986
5838.4858,4344.5986
5838.5010,4360.3945
5838.5161,4370.2534
5838.5308,4362.7109
5838.5459,4177.8936
5838.5610,4177.8936
5838.5762,4281.5054
5838.5908,4401.6606
5838.6060,4401.6606
5838.6211,4460.0684
5838.6357,4467.4961
5838.6509,4436.6108
5838.6660,4368.3877
5838.6812,4368.3877
5838.6958,4345.6543
5838.7109,4337.5166
5838.7261,4312.6802
5838.7407,4183.7124
5838.7559,4183.7124
5838.7710,4360.5088
5838.7861,4484.9595
5838.8008,4485.4302
5838.8159,4522.3574
5838.8311,4522.3574
5838.8457,4434.4346
5838.8608,4321.9058
5838.8760,4321.9058
5838.8911,4351.4824
5838.9058,4356.1001
5838.9209,4335.5425
5838.9360,4285.6074
5838.9512,4285.6074
5838.9658,4389.5254
5838.9810,4430.2183
5838.9961,4403.2378
5839.0107,4245.2881
5839.0259,4245.2881
5839.0410,4262.1323
5839.0562,4274.6592
5839.0708,4274.5811
5839.0859,4219.7695
5839.1011,4219.7695
5839.1157,4242.3389
5839.1309,4272.2983
5839.1460,4272.2983
5839.1611,4427.5991
5839.1758,4453.2563
5839.1909,4436.4629
5839.2061,4394.7593
5839.2207,4394.7593
5839.2358,4270.1777
5839.2510,4220.8271
5839.2661,4211.9604
5839.2808,4159.9990
5839.2959,4159.9990
5839.3110,4210.6211
5839.3262,4247.9482
5839.3408,4247.5078
5839.3560,4170.8545
5839.3711,4170.8545
5839.3857,4287.4219
5839.4009,4438.1108
5839.4160,4438.1108
5839.4312,4439.9819
5839.4458,4440.2695
5839.4609,4436.6567
5839.4761,4428.1455
5839.4907,4428.1455
5839.5059,4307.8789
5839.5210,4263.2622
5839.5361,4253.8691
5839.5508,4204.9629
5839.5659,4204.9629
5839.5811,4302.0142
5839.5957,4368.5845
5839.6108,4371.9556
5839.6260,4500.8267
5839.6411,4500.8267
5839.6558,4463.0244
5839.6709,4418.3159
5839.6860,4418.3159
5839.7012,4333.8037
5839.7158,4323.4790
5839.7310,4316.6528
5839.7461,4302.4390
5839.7607,4302.4390
5839.7759,4387.1069
5839.7910,4414.1328
5839.8062,4387.6484
5839.8208,4276.1680
5839.8359,4276.1680
5839.8511,4174.8027
5839.8657,4114.2969
5839.8809,4131.9233
5839.8960,4404.3433
5839.9111,4404.3433
5839.9258,4339.5010
5839.9409,4273.5200
5839.9561,4273.5200
5839.9707,4378.6660
5839.9858,4386.4775
5840.0010,4332.1206
5840.0161,4238.1069
5840.0308,4238.1069
5840.0459,4367.3418
5840.0610,4399.2100
5840.0762,4397.8076
5840.0908,4393.3276
5840.1060,4393.3276
5840.1211,4303.0034
5840.1357,4259.4736
5840.1509,4282.9214
5840.1660,4469.6196
5840.1812,4469.6196
5840.1958,4389.5884
5840.2109,4323.7573
5840.2261,4323.7573
5840.2407,4458.3384
5840.2559,4460.2363
5840.2710,4394.3623
5840.2861,4304.8101
5840.3008,4304.8101
5840.3159,4208.2490
5840.3311,4192.7744
5840.3457,4274.7295
5840.3608,4465.7349
5840.3760,4465.7349
5840.3911,4364.0498
5840.4058,4328.1240
5840.4209,4356.7622
5840.4360,4489.0737
5840.4512,4489.0737
5840.4658,4406.6460
5840.4810,4355.5347
5840.4961,4351.5693
5840.5107,4285.8311
5840.5259,4285.8311
5840.5410,4314.9326
5840.5562,4344.4038
5840.5708,4344.4038
5840.5859,4343.0625
5840.6011,4342.9722
5840.6157,4416.6558
5840.6309,4538.0483
5840.6460,4538.0483
5840.6611,4509.9097
5840.6758,4503.6753
5840.6909,4448.5400
5840.7061,4291.5000
5840.7207,4291.5000
5840.7358,4298.4561
5840.7510,4301.4170
5840.7661,4336.7930
5840.7808,4548.3379
5840.7959,4548.3379
5840.8110,4404.9878
5840.8262,4303.4834
5840.8408,4308.6426
5840.8560,4488.0498
5840.8711,4488.0498
5840.8857,4414.3975
5840.9009,4331.6011
5840.9160,4331.6011
5840.9312,4270.0054
5840.9458,4264.2031
5840.9609,4305.7969
5840.9761,4380.5918
5840.9907,4380.5918
5841.0059,4309.4390
5841.0210,4291.7778
5841.0361,4339.8276
5841.0508,4487.7090
5841.0659,4487.7090
5841.0811,4435.2734
5841.0957,4411.6768
5841.1108,4370.2583
5841.1260,4103.4614
5841.1411,4103.4614
5841.1558,4263.6670
5841.1709,4379.9482
5841.1860,4378.8677
5841.2012,4336.3735
5841.2158,4336.3735
5841.2310,4396.0132
5841.2461,4463.1348
5841.2607,4463.1348
5841.2759,4414.5400
5841.2910,4410.1128
5841.3062,4459.3984
5841.3208,4545.9512
5841.3359,4545.9512
5841.3511,4412.0068
5841.3657,4380.4790
5841.3809,4431.2534
5841.3960,4578.4819
5841.4111,4578.4819
5841.4258,4476.9336
5841.4409,4434.1792
5841.4561,4420.4058
5841.4707,4343.1562
5841.4858,4343.1562
5841.5010,4252.5923
5841.5161,4192.0259
5841.5308,4190.5483
5841.5459,4160.9097
5841.5610,4160.9097
5841.5762,4277.8477
5841.5908,4396.6499
5841.6060,4396.6499
5841.6211,4181.0342
5841.6357,4168.4678
5841.6509,4196.2002
5841.6660,4238.8315
5841.6812,4238.8315
5841.6958,4379.3247
5841.7109,4405.3623
5841.7261,4396.5088
5841.7407,4375.1963
5841.7559,4375.1963
5841.7710,4310.7432
5841.7861,4288.5244
5841.8008,4288.0405
5841.8159,4286.0322
5841.8311,4286.0322
5841.8457,4324.0889
5841.8608,4345.0415
5841.8760,4339.4575
5841.8911,4286.9033
5841.9058,4286.9033
5841.9209,4286.9854
5841.9360,4287.0532
5841.9512,4287.0532
5841.9658,4466.4600
5841.9810,4466.5962
5841.9961,4468.2534
5842.0107,4470.2681
5842.0259,4470.2681
5842.0410,4389.5352
5842.0562,4380.9341
5842.0708,4388.7310
5842.0859,4402.8081
5842.1011,4402.8081
5842.1157,4400.7935
5842.1309,4400.3193
5842.1460,4375.5718
5842.1611,4306.1650
5842.1758,4306.1650
5842.1909,4273.2051
5842.2061,4260.1650
5842.2207,4282.6650
5842.2358,4392.1108
5842.2510,4392.1108
5842.2661,4387.4507
5842.2808,4384.6528
5842.2959,4364.9243
5842.3110,4136.4653
5842.3262,4136.4653
5842.3408,4220.7612
